2026-09-25T19:48:18Z INFO Logging to /tmp/logs/update_2026-09-25T19-48-18Z.log.
2026-09-25T19:48:18Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T19:48:18Z INFO Processing 367 items (57291 already recorded).
2026-09-25T19:55:41Z INFO [89/367] 15cd7873-e3e5-409e-9454-41f0b68c448a: 22 groups; 1.6 s; peak memory 259 MiB.
2026-09-25T19:55:43Z INFO [90/367] 15cde387-bdeb-4d9e-8975-0f68d3ed88d2: 27 groups; 1.8 s; peak memory 259 MiB.
2026-09-25T19:55:44Z INFO [91/367] 15ce07e1-73eb-44a8-b52b-f4a8b50af56e: 17 groups; 1.3 s; peak memory 259 MiB.
2026-09-25T19:55:46Z INFO [92/367] 15ce2cd2-b508-423e-8246-3f325361e91e: 29 groups; 1.9 s; peak memory 259 MiB.
2026-09-25T19:55:48Z INFO [93/367] 15cea0a6-b75e-4021-a0de-478214e51049: 32 groups; 1.8 s; peak memory 259 MiB.
2026-09-25T19:55:50Z INFO [94/367] 15cf9fde-aebd-4d51-a8f8-41245ef5ea97: 35 groups; 2.1 s; peak memory 259 MiB.
2026-09-25T19:55:52Z INFO [95/367] 15d0465b-a6f2-4a34-ad82-17511ccf1675: 33 groups; 1.6 s; peak memory 259 MiB.
2026-09-25T19:55:54Z INFO [96/367] 15d10a56-942d-49d5-af73-7d43c4ea9804: 35 groups; 2.1 s; peak memory 259 MiB.
2026-09-25T19:55:55Z INFO [97/367] 15d1422f-895e-41ce-9554-939ff116f6ef: 22 groups; 1.5 s; peak memory 259 MiB.
2026-09-25T19:55:57Z INFO [98/367] 15d2399e-429c-4f7c-9f3d-0eb06833fe33: 32 groups; 2.0 s; peak memory 259 MiB.
2026-09-25T19:55:59Z INFO [99/367] 15d2f686-179e-4d0d-a580-efe37a0f85df: 26 groups; 1.6 s; peak memory 259 MiB.
2026-09-25T19:56:01Z INFO [100/367] 15d4a6c4-c831-41f8-b417-c10bb64fd7fa: 27 groups; 2.2 s; peak memory 259 MiB.
2026-09-25T19:56:01Z INFO [100/367] 15d4a6c4-c831-41f8-b417-c10bb64fd7fa: checkpointed 57391 records.
2026-09-25T19:56:03Z INFO [101/367] 15d4babd-4aac-40bb-ace8-db22390ef809: 32 groups; 2.2 s; peak memory 259 MiB.
2026-09-25T19:56:06Z INFO [102/367] 15d5c06e-8f10-48fc-b49b-1997b721383c: 48 groups; 2.9 s; peak memory 259 MiB.
2026-09-25T19:56:08Z INFO [103/367] 15d661b3-eb3a-47a9-ac8d-8569f4883275: 35 groups; 1.8 s; peak memory 259 MiB.
2026-09-25T19:56:19Z INFO [104/367] 15d697a6-c6a1-4706-8813-b24f1cd67796: 123 groups; 11.1 s; peak memory 259 MiB.
2026-09-25T19:56:27Z INFO [105/367] 15d6dba9-9e03-4642-a9c0-22d3f6da20ab: 181 groups; 7.9 s; peak memory 259 MiB.
2026-09-25T19:56:31Z INFO [106/367] 15d78fd7-2bea-42e1-abfb-4f51c50c47b0: 59 groups; 3.7 s; peak memory 259 MiB.
2026-09-25T19:56:34Z INFO [107/367] 15d8f158-2a35-49ad-9912-c77a266f7dc6: 36 groups; 2.8 s; peak memory 259 MiB.
2026-09-25T19:56:35Z INFO [108/367] 15d99d18-7008-4da1-b0f3-96da1bc29c4d: 25 groups; 1.7 s; peak memory 259 MiB.
2026-09-25T19:56:38Z INFO [109/367] 15db231e-6916-4e8e-822b-61e7bce38aca: 35 groups; 2.5 s; peak memory 259 MiB.
2026-09-25T19:56:41Z INFO [110/367] 15db31b4-fe0f-485a-93ac-2011fc623f4b: 48 groups; 3.3 s; peak memory 259 MiB.
2026-09-25T19:56:43Z INFO [111/367] 15db3aee-16c5-47d2-ad11-ae4c84f1b063: 32 groups; 1.7 s; peak memory 259 MiB.
2026-09-25T19:56:51Z INFO [112/367] 15db7f30-32ee-483c-886b-efd55f5a97f2: 47 groups; 8.0 s; peak memory 259 MiB.
2026-09-25T19:56:53Z INFO [113/367] 15dc84b2-0886-4650-b7ff-972f069887be: 33 groups; 1.7 s; peak memory 259 MiB.
2026-09-25T19:56:55Z INFO [114/367] 15dd2b83-33d8-4d73-8454-960e057e934c: 36 groups; 2.0 s; peak memory 259 MiB.
2026-09-25T19:56:56Z INFO [115/367] 15dd5925-1bc2-4363-9f75-989c374f87a8: 22 groups; 1.6 s; peak memory 259 MiB.
2026-09-25T19:57:07Z INFO [116/367] 15ddb06f-9e5c-46b5-9091-80bdd0a410ef: 49 groups; 11.1 s; peak memory 259 MiB.
2026-09-25T19:57:09Z INFO [117/367] 15ddecd5-c368-46a6-9bdd-869f1806a813: 33 groups; 1.9 s; peak memory 259 MiB.
2026-09-25T19:57:11Z INFO [118/367] 15de5a45-0c3d-4562-8dba-11914327a684: 22 groups; 1.5 s; peak memory 259 MiB.
2026-09-25T19:57:13Z INFO [119/367] 15de8523-1cc2-415a-83b8-d174ae0d9292: 196 groups; 2.1 s; peak memory 259 MiB.
2026-09-25T19:57:15Z INFO [120/367] 15df02db-af6d-43e3-bf29-f8cb3e1aba23: 195 groups; 2.2 s; peak memory 259 MiB.
2026-09-25T19:57:16Z INFO [121/367] 15df69a2-feb8-462b-9b4f-7994894be232: 16 groups; 1.2 s; peak memory 259 MiB.
2026-09-25T19:57:18Z INFO [122/367] 15df828e-b37b-40b7-814b-c90e7da59884: 32 groups; 1.9 s; peak memory 259 MiB.
