2026-09-25T16:00:03Z INFO Logging to /tmp/logs/update_2026-09-25T16-00-03Z.log.
2026-09-25T16:00:03Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T16:00:03Z INFO Processing 381 items (56910 already recorded).
2026-09-25T16:26:34Z INFO [137/381] 15165ea1-187e-44a6-bc93-40071f4ea1bd: 22 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:26:42Z INFO [138/381] 151667fd-a492-4ed5-ac71-b37c61ab28ca: 29 groups; 8.0 s; peak memory 1250 MiB.
2026-09-25T16:26:44Z INFO [139/381] 15168203-c85e-4d6b-98ec-f19b99976e76: 37 groups; 1.8 s; peak memory 1250 MiB.
2026-09-25T16:26:47Z INFO [140/381] 1516c1ad-ae95-4678-b2d6-a42c22b72c8d: 50 groups; 3.5 s; peak memory 1250 MiB.
2026-09-25T16:26:49Z INFO [141/381] 15171f1a-8e39-49f2-a38c-93e008b44542: 22 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:26:50Z INFO [142/381] 15182535-175f-4995-8de8-e8dcdd1006ec: 16 groups; 1.0 s; peak memory 1250 MiB.
2026-09-25T16:26:51Z INFO [143/381] 1518aa21-3261-4bc6-84fa-18afa1e969c4: 22 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:26:54Z INFO [144/381] 151980b6-9942-41cb-9677-6733baf539b2: 17 groups; 2.7 s; peak memory 1250 MiB.
2026-09-25T16:26:55Z INFO [145/381] 1519abe5-1ef3-47ad-a94b-35b1967f7061: 17 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:26:57Z INFO [146/381] 151b270b-3bcd-4dc6-909c-d3c42ea807bc: 199 groups; 1.7 s; peak memory 1250 MiB.
2026-09-25T16:27:00Z INFO [147/381] 151b4681-196e-4e90-a473-ae379428f203: 34 groups; 3.3 s; peak memory 1250 MiB.
2026-09-25T16:27:13Z INFO [148/381] 151b88c8-f512-4a0d-bd78-32906e4e0404: 252 groups; 13.4 s; peak memory 1250 MiB.
2026-09-25T16:27:15Z INFO [149/381] 151c049e-8d7e-4377-8072-7f37a3568bbe: 32 groups; 1.4 s; peak memory 1250 MiB.
2026-09-25T16:27:16Z INFO [150/381] 151c335c-7bba-4fb9-8a15-d245e645a571: 35 groups; 1.7 s; peak memory 1250 MiB.
2026-09-25T16:27:16Z INFO [150/381] 151c335c-7bba-4fb9-8a15-d245e645a571: checkpointed 57060 records.
2026-09-25T16:27:19Z INFO [151/381] 151c87de-b334-4769-b7cc-06db2b1f6725: 35 groups; 2.3 s; peak memory 1250 MiB.
2026-09-25T16:27:29Z INFO [152/381] 151caa57-ad4e-4282-ab63-131245fd0ca3: 76 groups; 10.3 s; peak memory 1250 MiB.
2026-09-25T16:27:31Z INFO [153/381] 151d1651-bb93-44be-a432-f2e8eee75dbd: 337 groups; 2.0 s; peak memory 1250 MiB.
2026-09-25T16:27:33Z INFO [154/381] 151d3583-48b5-4ad2-af40-25c7a63ef7a3: 33 groups; 1.7 s; peak memory 1250 MiB.
2026-09-25T16:27:40Z INFO [155/381] 151e3b9e-3c32-4a01-9f46-b2c5603b066c: 53 groups; 6.7 s; peak memory 1250 MiB.
2026-09-25T16:27:41Z INFO [156/381] 151e3d83-b8fa-4791-a2f3-20020b4dfc2a: 22 groups; 1.3 s; peak memory 1250 MiB.
2026-09-25T16:27:43Z INFO [157/381] 151f3532-5045-4e29-8327-cc247994d12f: 43 groups; 1.9 s; peak memory 1250 MiB.
2026-09-25T16:27:44Z INFO [158/381] 151f3b52-65e7-4d29-9584-48482be724c0: 22 groups; 1.3 s; peak memory 1250 MiB.
2026-09-25T16:27:45Z INFO [159/381] 151fd0ac-8636-4d0e-99a8-4a3bb23886f9: 33 groups; 1.3 s; peak memory 1250 MiB.
2026-09-25T16:27:52Z INFO [160/381] 15202d44-5003-4779-9c34-1adfa63e2c15: 145 groups; 6.8 s; peak memory 1250 MiB.
2026-09-25T16:27:54Z INFO [161/381] 1520418a-b922-4b5e-86ae-b0daed515840: 35 groups; 1.6 s; peak memory 1250 MiB.
2026-09-25T16:27:55Z INFO [162/381] 152049c1-27fe-4fdc-a625-9e9051d8fed4: 22 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:27:56Z INFO [163/381] 1522199d-e3ef-4bc0-8aff-957b087712bb: 22 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:27:58Z INFO [164/381] 1523c3e4-2549-4666-8430-244006651726: 35 groups; 1.8 s; peak memory 1250 MiB.
2026-09-25T16:27:59Z INFO [165/381] 15241611-32e6-4e85-84f0-bb65849fc7b8: 22 groups; 1.2 s; peak memory 1250 MiB.
2026-09-25T16:28:17Z INFO [166/381] 152473f6-5c29-4232-a1a8-30b6068ed0f6: 157 groups; 17.4 s; peak memory 1250 MiB.
2026-09-25T16:28:18Z INFO [167/381] 15249456-d735-475a-bc71-16b2b4607f32: 67 groups; 1.7 s; peak memory 1250 MiB.
2026-09-25T16:28:19Z INFO [168/381] 1524af07-9bd0-44aa-9758-54fb32680c3e: 16 groups; 1.1 s; peak memory 1250 MiB.
2026-09-25T16:28:22Z INFO [169/381] 15250191-7927-4c92-854c-20d073d1ce23: 33 groups; 2.6 s; peak memory 1250 MiB.
2026-09-25T16:28:42Z INFO [170/381] 15256943-9b91-4088-8399-e3337b96f2d7: 23 groups; 20.3 s; peak memory 1250 MiB.
2026-09-25T16:28:45Z INFO [171/381] 152569bd-1869-44c6-9c2f-ddbbf77c47d0: 48 groups; 3.2 s; peak memory 1250 MiB.
2026-09-25T16:28:47Z INFO [172/381] 15258885-47be-4eba-ba03-0d8091250b4c: 32 groups; 1.6 s; peak memory 1250 MiB.
2026-09-25T16:29:02Z INFO [173/381] 15258932-e46b-4ef8-a6c3-9b8e25d69586: 270 groups; 14.6 s; peak memory 1250 MiB.
2026-09-25T16:29:03Z INFO [174/381] 15268835-3ab8-415c-bc08-66a3e16e7c56: 22 groups; 1.3 s; peak memory 1250 MiB.
