2026-09-20T21:57:25Z INFO Logging to /tmp/logs/update_2026-09-20T21-57-25Z.log.
2026-09-20T21:57:25Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T21:57:25Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:59:44Z INFO [115/369] 0b3e9de9-773a-4fae-bcc7-8e55a1ef6582: 256 groups; 1.8 s; peak memory 1122 MiB.
2026-09-20T22:59:47Z INFO [116/369] 0b3e9eb4-6f39-4b6e-a97a-adb499c47239: 62 groups; 2.6 s; peak memory 1122 MiB.
2026-09-20T22:59:53Z INFO [117/369] 0b3f2c8c-2f2a-44c4-bc84-3ce52b8a84c0: 78 groups; 6.0 s; peak memory 1122 MiB.
2026-09-20T22:59:54Z INFO [118/369] 0b3f3640-d3db-4b1d-ad75-649fac331b6f: 32 groups; 1.5 s; peak memory 1122 MiB.
2026-09-20T22:59:56Z INFO [119/369] 0b40287e-8e0d-49ff-b7d1-a5c09ff1bdc3: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T22:59:57Z INFO [120/369] 0b42baaa-1d2c-459a-a61e-49d22b93c63e: 16 groups; 1.1 s; peak memory 1122 MiB.
2026-09-20T22:59:58Z INFO [121/369] 0b42e9b8-abdf-4b88-bebe-0f22e89d450c: 30 groups; 1.1 s; peak memory 1122 MiB.
2026-09-20T22:59:59Z INFO [122/369] 0b43bc0a-e7a0-406f-b17c-3803396cd68f: 29 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T23:00:01Z INFO [123/369] 0b44c302-629e-413f-b1d3-c642e104ffd3: 17 groups; 1.2 s; peak memory 1122 MiB.
2026-09-20T23:00:10Z INFO [124/369] 0b44fdc7-f631-4ebc-99ab-3db90dcd5d98: 211 groups; 9.3 s; peak memory 1122 MiB.
2026-09-20T23:00:11Z INFO [125/369] 0b450111-d416-4ce8-88ee-483ed81b43fe: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:00:14Z INFO [126/369] 0b45608f-d656-4be1-b28f-3fc06d2acbc4: 35 groups; 2.5 s; peak memory 1122 MiB.
2026-09-20T23:00:15Z INFO [127/369] 0b456c21-bd29-49ab-b6c1-a4bb6805dee1: 22 groups; 1.4 s; peak memory 1122 MiB.
2026-09-20T23:00:17Z INFO [128/369] 0b4589b4-3f47-4822-a0c3-67e56875c74a: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:00:18Z INFO [129/369] 0b46245f-b35b-4dc8-93cd-1a0c6e25bf9d: 32 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T23:00:20Z INFO [130/369] 0b468400-5d4d-4faf-bc1a-58af167326af: 203 groups; 1.9 s; peak memory 1122 MiB.
2026-09-20T23:00:36Z INFO [131/369] 0b46a676-9687-4612-8aee-f882e512f2e5: 174 groups; 15.7 s; peak memory 1122 MiB.
2026-09-20T23:00:38Z INFO [132/369] 0b479f50-474c-4d5c-bb9e-5860859b1610: 336 groups; 2.1 s; peak memory 1122 MiB.
2026-09-20T23:00:39Z INFO [133/369] 0b47f65a-62f1-4a31-9c18-80395815e9d8: 32 groups; 1.5 s; peak memory 1122 MiB.
2026-09-20T23:00:41Z INFO [134/369] 0b49e2e6-6290-45a2-b164-5c64c17d40ee: 22 groups; 1.4 s; peak memory 1122 MiB.
2026-09-20T23:00:42Z INFO [135/369] 0b4a0a1c-5263-422b-ab26-692ba7b5690b: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:00:43Z INFO [136/369] 0b4a4659-d84c-403c-aa1d-86af47100770: 26 groups; 1.1 s; peak memory 1122 MiB.
2026-09-20T23:00:45Z INFO [137/369] 0b4af40a-ddbe-4ad1-b721-4973b4db278b: 32 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T23:00:47Z INFO [138/369] 0b4b8950-e0c9-49a4-b480-eef029e69d81: 32 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T23:00:49Z INFO [139/369] 0b4c7afe-a47c-4b90-a83d-0d836f556bf3: 200 groups; 2.4 s; peak memory 1122 MiB.
2026-09-20T23:00:51Z INFO [140/369] 0b4ca8a8-4100-4b24-b752-c8d961441986: 202 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T23:00:52Z INFO [141/369] 0b4cd329-30b8-4dc4-a799-409149521d7d: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:01:10Z INFO [142/369] 0b4d0989-9193-46eb-b500-2f56b1416880: 27 groups; 17.3 s; peak memory 1122 MiB.
2026-09-20T23:01:11Z INFO [143/369] 0b4d690c-ddd9-4d95-80aa-1a6d9a23c907: 35 groups; 1.5 s; peak memory 1122 MiB.
2026-09-20T23:01:13Z INFO [144/369] 0b4d7b8d-ce40-42d3-872d-68495a72d88f: 32 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T23:01:14Z INFO [145/369] 0b4e843b-4878-447a-9a56-42b85d927027: 32 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T23:01:25Z INFO [146/369] 0b4eb1a8-a10b-4b55-8d3d-0969f1824364: 197 groups; 10.5 s; peak memory 1122 MiB.
2026-09-20T23:01:27Z INFO [147/369] 0b4ec03d-d338-4459-a0ee-7b3e70f289e4: 36 groups; 1.7 s; peak memory 1122 MiB.
2026-09-20T23:01:28Z INFO [148/369] 0b4f67e6-7a1a-44a9-9492-523ca7a487bb: 32 groups; 1.4 s; peak memory 1122 MiB.
2026-09-20T23:01:29Z INFO [149/369] 0b4fc9ac-ed67-4cf0-8968-12c5a09464eb: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:01:31Z INFO [150/369] 0b4ff4f0-04e4-4288-a4fc-281d5dd91c8b: 22 groups; 1.4 s; peak memory 1122 MiB.
2026-09-20T23:01:31Z INFO [150/369] 0b4ff4f0-04e4-4288-a4fc-281d5dd91c8b: checkpointed 52280 records.
2026-09-20T23:01:35Z INFO [151/369] 0b5058e9-4f6e-45e9-a011-6385e2cedf2c: 48 groups; 3.7 s; peak memory 1122 MiB.
2026-09-20T23:01:36Z INFO [152/369] 0b522057-6c77-451e-9fde-e86f2ac2e7d5: 32 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T23:01:39Z INFO [153/369] 0b52fdb6-6afd-4611-a1c9-5798860fe16a: 48 groups; 2.7 s; peak memory 1122 MiB.
2026-09-20T23:01:40Z INFO [154/369] 0b5331d5-8e87-427e-b82e-d39280ad3fbd: 24 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:01:42Z INFO [155/369] 0b54270a-b8fe-4951-a6ba-d6dfac362c50: 35 groups; 1.9 s; peak memory 1122 MiB.
2026-09-20T23:01:59Z INFO [156/369] 0b54dadc-af2b-48cc-8668-cd18002f8d64: 23 groups; 17.2 s; peak memory 1122 MiB.
2026-09-20T23:02:12Z INFO [157/369] 0b553f93-b41d-4d48-bcb2-f6007e647272: 206 groups; 12.8 s; peak memory 1122 MiB.
2026-09-20T23:02:27Z INFO [158/369] 0b554ee0-0eb4-41fc-b22c-08f9ba4ec21a: 219 groups; 14.9 s; peak memory 1122 MiB.
2026-09-20T23:02:29Z INFO [159/369] 0b558a53-7c9a-4dcf-9539-abb8bc83becb: 32 groups; 1.7 s; peak memory 1122 MiB.
2026-09-20T23:02:31Z INFO [160/369] 0b55e872-bb10-49bf-9eb5-6d8be88918d8: 35 groups; 2.2 s; peak memory 1122 MiB.
2026-09-20T23:02:32Z INFO [161/369] 0b55f996-7eda-4cde-b042-f8ce861274bb: 32 groups; 1.7 s; peak memory 1122 MiB.
2026-09-20T23:02:35Z INFO [162/369] 0b561c45-9c92-4794-bdea-b04f9facb9bb: 32 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T23:02:37Z INFO [163/369] 0b56ac38-2d27-4129-9e5f-4daa17428719: 54 groups; 2.1 s; peak memory 1122 MiB.
2026-09-20T23:02:38Z INFO [164/369] 0b56fc97-342e-4ff7-922b-34e73e88abd1: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:02:40Z INFO [165/369] 0b572e5d-fb3d-4282-8fc7-28ccbfc66f1f: 32 groups; 1.6 s; peak memory 1122 MiB.
2026-09-20T23:02:41Z INFO [166/369] 0b5764d3-a823-4886-8958-27f519b9bcc5: 22 groups; 1.4 s; peak memory 1122 MiB.
2026-09-20T23:02:43Z INFO [167/369] 0b578e34-101c-4a62-9814-ce73dc0ea2f4: 35 groups; 2.1 s; peak memory 1122 MiB.
2026-09-20T23:02:44Z INFO [168/369] 0b585bcf-164f-4f1d-8a2d-85c661a1d03a: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T23:02:59Z INFO [169/369] 0b58640d-da8e-4457-a0cf-98333a9f5e69: 225 groups; 14.7 s; peak memory 1122 MiB.
2026-09-20T23:03:01Z INFO [170/369] 0b588dec-925e-430d-9a3d-6a405f8841bb: 35 groups; 2.0 s; peak memory 1122 MiB.
2026-09-20T23:03:09Z INFO [171/369] 0b58ae3b-e4b9-4708-9aeb-79635eccbbce: 181 groups; 8.1 s; peak memory 1122 MiB.
