2026-09-18T15:15:15Z INFO Logging to /tmp/logs/update_2026-09-18T15-15-15Z.log.
2026-09-18T15:15:15Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T15:15:15Z INFO Processing 374 items (49152 already recorded).
2026-09-18T15:24:56Z INFO [154/374] 051db6b5-c7de-4bd8-a393-cc1061454c0c: 17 groups; 1.6 s; peak memory 402 MiB.
2026-09-18T15:24:56Z INFO [155/374] 051f15f8-fe80-4995-9774-8afa607a8fe6: 16 groups; 0.4 s; peak memory 402 MiB.
2026-09-18T15:24:57Z INFO [156/374] 051f3823-9a6d-489c-9d78-8d2da1ca608b: 104 groups; 1.1 s; peak memory 402 MiB.
2026-09-18T15:24:58Z INFO [157/374] 05201abc-afb4-4987-bcf8-c0c03d1e79dd: 32 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:24:59Z INFO [158/374] 0520a84b-5634-42a0-b4cb-47bcf1aa2227: 30 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:25:03Z INFO [159/374] 0520c2b1-4445-41c6-81db-070b67762bb8: 17 groups; 4.1 s; peak memory 402 MiB.
2026-09-18T15:25:03Z INFO [160/374] 052154f9-dedb-4f88-aa7d-6f3ecc66f44e: 17 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:25:04Z INFO [161/374] 0521bb2b-f854-4c9d-9999-6084f184976f: 33 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:25:05Z INFO [162/374] 0521fbc4-dd4e-41b7-bad3-dca6c7fcecdb: 71 groups; 1.1 s; peak memory 402 MiB.
2026-09-18T15:25:06Z INFO [163/374] 052213ec-d13d-47b3-a3fa-e0a90c13168e: 30 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:25:07Z INFO [164/374] 0522b33d-7075-4f11-802e-77c2cbed9ce6: 48 groups; 1.6 s; peak memory 402 MiB.
2026-09-18T15:25:08Z INFO [165/374] 052319e3-22bb-43f6-bdf6-000c5910d720: 33 groups; 1.1 s; peak memory 402 MiB.
2026-09-18T15:25:09Z INFO [166/374] 05231b9d-5dfa-4d67-a552-1a89b8a18b56: 36 groups; 0.9 s; peak memory 402 MiB.
