2026-09-17T15:43:16Z INFO Logging to /tmp/logs/update_2026-09-17T15-43-16Z.log.
2026-09-17T15:43:16Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T15:43:16Z INFO Processing 385 items (48030 already recorded).
2026-09-17T16:35:24Z INFO [166/385] 02a87829-cda9-4cae-a640-72d93d360e9c: 220 groups; 10.2 s; peak memory 1307 MiB.
2026-09-17T16:35:25Z INFO [167/385] 02a9596d-8286-4034-a5bb-80b902fed0ff: 22 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:35:36Z INFO [168/385] 02a95f1a-6af7-44fa-870b-540be1598e25: 1902 groups; 11.6 s; peak memory 1307 MiB.
2026-09-17T16:35:38Z INFO [169/385] 02ab385f-0a13-4617-9241-cb80277b5f04: 27 groups; 1.7 s; peak memory 1307 MiB.
2026-09-17T16:35:40Z INFO [170/385] 02ab47cd-b9ff-46f8-9ae5-f7629e230317: 34 groups; 2.4 s; peak memory 1307 MiB.
2026-09-17T16:35:43Z INFO [171/385] 02ab5f1d-b90f-4109-915f-94e39431d8fa: 58 groups; 2.5 s; peak memory 1307 MiB.
2026-09-17T16:35:44Z INFO [172/385] 02abdba1-11e3-4245-a4d7-8af2193b29a6: 22 groups; 0.7 s; peak memory 1307 MiB.
2026-09-17T16:35:44Z INFO [173/385] 02ace5ca-49ef-420e-b605-64cbc69ef4de: 33 groups; 0.8 s; peak memory 1307 MiB.
2026-09-17T16:35:45Z INFO [174/385] 02acf65f-66d3-455f-880f-df80ab42894f: 31 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:35:46Z INFO [175/385] 02ad6340-dfcd-48e5-b161-b51f099571a1: 16 groups; 0.7 s; peak memory 1307 MiB.
